Country Name,Country Code,Indicator Name,Indicator Code,year,gdp_per_capita
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1960,529.5619227
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1961,543.0422237
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1962,560.6993945
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1963,601.5999509
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1964,642.6884307
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1965,681.1311113
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1966,718.1181791
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1967,775.152812
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1968,813.5084967
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1969,887.2467023
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1970,948.5917938
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1971,1016.483365
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1972,1034.49214
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1973,1364.206061
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1974,1650.4829
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,1664.480006
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,1554.002798
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,1666.495636
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,1846.852201
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,2196.697471
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,3034.660366
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,3080.833019
